Timestamp,Week,Year,Month,Day,Hour,Minute,Second,MemFree,Active,Cached
13-11-2015 15:33:16 +0009,45,2015,11,13,15,33,16,7441.73,84.4727,133.918
13-11-2015 15:38:17 +0009,45,2015,11,13,15,38,17,7442.25,84.9258,134.031
13-11-2015 15:43:17 +0009,45,2015,11,13,15,43,17,7437.82,85.0547,134.051
13-11-2015 15:48:17 +0009,45,2015,11,13,15,48,17,7440.42,82.3125,134.031
13-11-2015 15:53:17 +0009,45,2015,11,13,15,53,17,7440.95,82.0117,134.031
13-11-2015 15:58:17 +0009,45,2015,11,13,15,58,17,7439.05,84.875,134.043
13-11-2015 16:03:17 +0009,45,2015,11,13,16,03,17,7437.89,84.7539,134.047
13-11-2015 16:08:17 +0009,45,2015,11,13,16,08,17,7388.25,127.805,133.961
13-11-2015 16:13:17 +0009,45,2015,11,13,16,13,17,7436.45,79.9141,134.078
13-11-2015 16:18:17 +0009,45,2015,11,13,16,18,17,7435.95,80.0742,134.078
13-11-2015 16:23:17 +0009,45,2015,11,13,16,23,17,7435.41,80.0352,134.078
13-11-2015 16:28:17 +0009,45,2015,11,13,16,28,17,7435.08,80.1523,134.078
13-11-2015 16:33:17 +0009,45,2015,11,13,16,33,17,7435.64,80.0273,134.078
13-11-2015 16:38:17 +0009,45,2015,11,13,16,38,17,7435.84,80.2031,134.078
13-11-2015 16:43:17 +0009,45,2015,11,13,16,43,17,7435.46,80.0586,134.078
13-11-2015 16:48:17 +0009,45,2015,11,13,16,48,17,7435.36,79.8281,134.078
13-11-2015 16:53:17 +0009,45,2015,11,13,16,53,17,7433.61,82.5703,134.09
13-11-2015 16:58:17 +0009,45,2015,11,13,16,58,17,7433.28,82.5742,134.09
13-11-2015 17:03:17 +0009,45,2015,11,13,17,03,17,7434.73,79.9844,134.086
13-11-2015 17:08:17 +0009,45,2015,11,13,17,08,17,7425.39,82.6914,134.113
13-11-2015 17:13:17 +0009,45,2015,11,13,17,13,17,7425.2,82.3711,134.098
13-11-2015 17:18:17 +0009,45,2015,11,13,17,18,17,7421.46,82.4336,134.121
13-11-2015 17:23:17 +0009,45,2015,11,13,17,23,17,7423.77,80.0234,134.113
13-11-2015 17:28:17 +0009,45,2015,11,13,17,28,17,7419.14,79.9766,134.109
13-11-2015 17:33:17 +0009,45,2015,11,13,17,33,17,7409.86,85.8438,134.133
13-11-2015 17:38:17 +0009,45,2015,11,13,17,38,17,7415.45,80.2305,134.145
13-11-2015 17:43:17 +0009,45,2015,11,13,17,43,17,7412.8,79.8281,134.168
13-11-2015 17:48:17 +0009,45,2015,11,13,17,48,17,7413.37,80.1055,134.168
13-11-2015 17:53:17 +0009,45,2015,11,13,17,53,17,7412.86,80.2422,134.152
13-11-2015 17:58:17 +0009,45,2015,11,13,17,58,17,7413.01,79.8711,134.172
13-11-2015 18:03:17 +0009,45,2015,11,13,18,03,17,7412.75,80.2305,134.195
